,accumulated_power,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,power,resistance,speed,temperature,timestamp,unknown_61,unknown_66
92,11546,2121,94,658.21,-75.80000000000001,8.799,0.0,94,149.0,0,8799,20,2019-05-11 16:36:32,2121,582
93,11695,2121,93,666.98,-75.80000000000001,8.771,0.0,98,149.0,0,8771,20,2019-05-11 16:36:33,2121,582
94,11844,2121,93,675.66,-75.80000000000001,8.687,0.0,105,149.0,0,8687,20,2019-05-11 16:36:34,2121,582
95,11993,2121,92,684.32,-75.80000000000001,8.659,0.0,105,149.0,0,8659,20,2019-05-11 16:36:35,2121,582
96,12142,2121,91,692.87,-75.80000000000001,8.547,0.0,108,149.0,0,8547,20,2019-05-11 16:36:36,2121,582
97,12291,2121,92,701.42,-75.80000000000001,8.547,0.0,108,149.0,0,8547,20,2019-05-11 16:36:37,2121,582
98,12440,2121,92,709.94,-75.80000000000001,8.519,0.0,108,149.0,0,8519,20,2019-05-11 16:36:38,2121,582
99,12589,2121,92,718.46,-75.80000000000001,8.519,0.0,108,149.0,0,8519,20,2019-05-11 16:36:39,2121,582
100,12738,2121,92,726.89,-75.80000000000001,8.435,0.0,111,149.0,0,8435,20,2019-05-11 16:36:40,2121,582
101,12887,2121,90,735.45,-75.80000000000001,8.547,0.0,113,149.0,0,8547,20,2019-05-11 16:36:41,2121,582
102,13036,2121,91,744.02,-75.80000000000001,8.575,0.0,113,149.0,0,8575,20,2019-05-11 16:36:42,2121,582
103,13186,2121,91,752.53,-75.80000000000001,8.519,0.0,114,150.0,0,8519,20,2019-05-11 16:36:43,2121,582
104,13336,2121,90,761.05,-75.80000000000001,8.519,0.0,114,150.0,0,8519,20,2019-05-11 16:36:44,2121,582
105,13486,2121,90,769.57,-75.80000000000001,8.519,0.0,114,150.0,0,8519,20,2019-05-11 16:36:45,2121,582
106,13636,2121,91,778.03,-75.80000000000001,8.463,0.0,118,150.0,0,8463,20,2019-05-11 16:36:46,2121,581
107,13785,2121,91,786.47,-75.80000000000001,8.435,0.0,120,149.0,0,8435,20,2019-05-11 16:36:47,2121,581
108,13934,2121,91,794.83,-75.80000000000001,8.36,0.0,122,149.0,0,8360,20,2019-05-11 16:36:48,2121,581
109,14084,2121,91,803.19,-75.80000000000001,8.36,0.0,125,150.0,0,8360,20,2019-05-11 16:36:49,2121,581
110,14234,2121,89,811.57,-75.80000000000001,8.379,0.0,126,150.0,0,8379,20,2019-05-11 16:36:50,2121,581
111,14384,2121,89,819.95,-75.80000000000001,8.379,0.0,127,150.0,0,8379,20,2019-05-11 16:36:51,2121,581
112,14534,2121,89,828.32,-75.80000000000001,8.379,0.0,127,150.0,0,8379,20,2019-05-11 16:36:52,2121,581
113,14683,2121,89,836.66,-75.80000000000001,8.332,0.0,127,149.0,0,8332,20,2019-05-11 16:36:53,2121,582
114,14832,2121,88,845.06,-75.80000000000001,8.407,0.0,127,149.0,0,8407,20,2019-05-11 16:36:54,2121,582
115,14981,2121,88,853.44,-75.80000000000001,8.379,0.0,126,149.0,0,8379,20,2019-05-11 16:36:55,2121,582
116,15130,2121,88,861.85,-75.80000000000001,8.407,0.0,126,149.0,0,8407,20,2019-05-11 16:36:56,2121,582
117,15279,2121,88,870.29,-75.80000000000001,8.435,0.0,126,149.0,0,8435,20,2019-05-11 16:36:57,2121,582
118,15429,2121,89,878.66,-75.80000000000001,8.379,0.0,126,150.0,0,8379,20,2019-05-11 16:36:58,2121,582
119,15578,2121,89,887.0,-75.80000000000001,8.332,0.0,125,149.0,0,8332,20,2019-05-11 16:36:59,2121,581
120,15578,2121,89,895.3,-75.80000000000001,8.304,0.0,125,149.0,0,8304,20,2019-05-11 16:37:00,2121,581
121,15876,2121,87,903.52,-75.80000000000001,8.22,0.0,125,149.0,0,8220,20,2019-05-11 16:37:01,2121,581
122,16025,2121,87,911.74,-75.80000000000001,8.22,0.0,125,149.0,0,8220,20,2019-05-11 16:37:02,2121,581
123,16174,2121,87,919.96,-75.80000000000001,8.22,0.0,125,149.0,0,8220,20,2019-05-11 16:37:03,2121,581
124,16324,2121,87,928.18,-75.80000000000001,8.22,0.0,126,150.0,0,8220,20,2019-05-11 16:37:04,2121,581
125,16474,2121,87,936.51,-75.80000000000001,8.332,0.0,125,150.0,0,8332,20,2019-05-11 16:37:05,2121,581
126,16624,2121,87,945.01,-75.80000000000001,8.491,0.0,126,150.0,0,8491,20,2019-05-11 16:37:06,2121,581
127,16774,2121,88,953.52,-75.80000000000001,8.519,0.0,126,150.0,0,8519,20,2019-05-11 16:37:07,2121,581
128,16924,2121,88,962.02,-75.80000000000001,8.491,0.0,127,150.0,0,8491,20,2019-05-11 16:37:08,2121,581
129,17074,2121,89,970.38,-75.80000000000001,8.36,0.0,127,150.0,0,8360,20,2019-05-11 16:37:09,2121,581
130,17223,2121,90,978.68,-75.80000000000001,8.304,0.0,127,149.0,0,8304,20,2019-05-11 16:37:10,2121,581
131,17372,2121,87,987.04,-75.80000000000001,8.36,0.0,127,149.0,0,8360,20,2019-05-11 16:37:11,2121,581
132,17521,2121,85,995.53,-75.80000000000001,8.491,0.0,127,149.0,0,8491,20,2019-05-11 16:37:12,2121,581
133,17671,2121,85,1003.97,-75.80000000000001,8.435,0.0,126,150.0,0,8435,20,2019-05-11 16:37:13,2121,581
134,17822,2121,88,1012.34,-75.80000000000001,8.379,0.0,126,151.0,0,8379,20,2019-05-11 16:37:14,2121,581
135,17973,2121,90,1020.75,-75.80000000000001,8.407,0.0,125,151.0,0,8407,20,2019-05-11 16:37:15,2121,581
136,18123,2121,89,1029.16,-75.80000000000001,8.407,0.0,126,150.0,0,8407,20,2019-05-11 16:37:16,2121,581
137,18273,2121,89,1037.62,-75.80000000000001,8.463,0.0,126,150.0,0,8463,20,2019-05-11 16:37:17,2121,581
138,18423,2121,89,1046.03,-75.80000000000001,8.407,0.0,126,150.0,0,8407,20,2019-05-11 16:37:18,2121,581
139,18573,2121,87,1054.36,-75.80000000000001,8.332,0.0,126,150.0,0,8332,20,2019-05-11 16:37:19,2121,581
140,18722,2121,87,1062.69,-75.80000000000001,8.332,0.0,126,149.0,0,8332,20,2019-05-11 16:37:20,2121,582
141,18871,2121,86,1071.1,-75.80000000000001,8.407,0.0,127,149.0,0,8407,20,2019-05-11 16:37:21,2121,582
142,19020,2120,88,1079.53,-76.0,8.435,0.0,127,149.0,0,8435,20,2019-05-11 16:37:22,2120,582
143,19170,2120,89,1088.03,-76.0,8.491,0.0,127,150.0,0,8491,20,2019-05-11 16:37:23,2120,582
144,19319,2119,89,1096.47,-76.19999999999999,8.435,0.0,126,149.0,0,8435,20,2019-05-11 16:37:24,2119,582
145,19468,2119,90,1104.84,-76.19999999999999,8.379,0.0,126,149.0,0,8379,20,2019-05-11 16:37:25,2119,582
146,19617,2119,90,1113.18,-76.19999999999999,8.332,0.0,125,149.0,0,8332,20,2019-05-11 16:37:26,2119,581
147,19767,2119,90,1121.53,-76.19999999999999,8.36,0.0,124,150.0,0,8360,20,2019-05-11 16:37:27,2119,581
148,19917,2119,90,1129.89,-76.19999999999999,8.36,0.0,123,150.0,0,8360,20,2019-05-11 16:37:28,2119,581
149,20067,2119,89,1138.25,-76.19999999999999,8.36,0.0,123,150.0,0,8360,20,2019-05-11 16:37:29,2119,581
150,20217,2119,89,1146.66,-76.19999999999999,8.407,0.0,122,150.0,0,8407,20,2019-05-11 16:37:30,2119,582
151,20367,2119,89,1155.15,-76.19999999999999,8.491,0.0,121,150.0,0,8491,20,2019-05-11 16:37:31,2119,582
152,20367,2119,90,1163.67,-76.19999999999999,8.519,0.0,121,75.0,0,8519,20,2019-05-11 16:37:32,2119,582
153,20517,2119,90,1172.27,-76.19999999999999,8.603,0.0,120,75.0,0,8603,20,2019-05-11 16:37:33,2119,582
154,20667,2119,91,1180.85,-76.19999999999999,8.575,0.0,119,150.0,0,8575,20,2019-05-11 16:37:34,2119,582
155,20817,2119,92,1189.39,-76.19999999999999,8.547,0.0,118,150.0,0,8547,20,2019-05-11 16:37:35,2119,582
156,20967,2119,91,1197.94,-76.19999999999999,8.547,0.0,117,150.0,0,8547,20,2019-05-11 16:37:36,2119,582
157,21117,2119,90,1206.49,-76.19999999999999,8.547,0.0,116,150.0,0,8547,20,2019-05-11 16:37:37,2119,582
158,21267,2119,90,1214.95,-76.19999999999999,8.463,0.0,116,150.0,0,8463,20,2019-05-11 16:37:38,2119,582
159,21416,2119,90,1223.36,-76.19999999999999,8.407,0.0,115,149.0,0,8407,20,2019-05-11 16:37:39,2119,582
160,21565,2119,90,1231.7,-76.19999999999999,8.332,0.0,115,149.0,0,8332,20,2019-05-11 16:37:40,2119,582
161,21714,2119,90,1240.13,-76.19999999999999,8.435,0.0,116,149.0,0,8435,20,2019-05-11 16:37:41,2119,582
162,21863,2119,90,1248.53,-76.19999999999999,8.407,0.0,116,149.0,0,8407,20,2019-05-11 16:37:42,2119,582
163,22013,2118,91,1256.86,-76.39999999999998,8.332,0.0,116,150.0,0,8332,20,2019-05-11 16:37:43,2118,581
164,22163,2118,90,1265.14,-76.39999999999998,8.276,0.0,118,150.0,0,8276,20,2019-05-11 16:37:44,2118,581
165,22312,2118,90,1273.47,-76.39999999999998,8.332,0.0,120,149.0,0,8332,20,2019-05-11 16:37:45,2118,581
166,22461,2118,89,1281.86,-76.39999999999998,8.379,0.0,121,149.0,0,8379,20,2019-05-11 16:37:46,2118,581
167,22610,2118,91,1290.29,-76.39999999999998,8.435,0.0,122,149.0,0,8435,20,2019-05-11 16:37:47,2118,581
168,22760,2118,91,1298.73,-76.39999999999998,8.435,0.0,121,150.0,0,8435,20,2019-05-11 16:37:48,2118,582
169,22909,2118,91,1307.19,-76.39999999999998,8.463,0.0,120,149.0,0,8463,20,2019-05-11 16:37:49,2118,582
170,23058,2118,89,1315.65,-76.39999999999998,8.463,0.0,120,149.0,0,8463,20,2019-05-11 16:37:50,2118,582
171,23207,2118,88,1324.03,-76.39999999999998,8.379,0.0,120,149.0,0,8379,20,2019-05-11 16:37:51,2118,582
172,23356,2118,88,1332.43,-76.39999999999998,8.407,0.0,120,149.0,0,8407,20,2019-05-11 16:37:52,2118,582
173,23506,2118,89,1341.13,-76.39999999999998,8.687,0.0,122,150.0,0,8687,20,2019-05-11 16:37:53,2118,582
174,23657,2118,92,1349.81,-76.39999999999998,8.687,0.0,123,151.0,0,8687,20,2019-05-11 16:37:54,2118,582
175,23807,2118,93,1358.52,-76.39999999999998,8.715,0.0,124,150.0,0,8715,19,2019-05-11 16:37:55,2118,582
176,23957,2118,93,1367.15,-76.39999999999998,8.631,0.0,126,150.0,0,8631,19,2019-05-11 16:37:56,2118,582
177,24106,2118,94,1375.71,-76.39999999999998,8.547,0.0,127,149.0,0,8547,19,2019-05-11 16:37:57,2118,582
178,24255,2118,91,1384.25,-76.39999999999998,8.547,0.0,128,149.0,0,8547,19,2019-05-11 16:37:58,2118,581
179,24404,2118,91,1392.74,-76.39999999999998,8.491,0.0,128,149.0,0,8491,19,2019-05-11 16:37:59,2118,581
180,24553,2118,90,1401.23,-76.39999999999998,8.491,0.0,128,149.0,0,8491,19,2019-05-11 16:38:00,2118,581
181,24703,2118,89,1409.78,-76.39999999999998,8.547,0.0,128,150.0,0,8547,19,2019-05-11 16:38:01,2118,581
182,24852,2118,89,1418.35,-76.39999999999998,8.575,0.0,127,149.0,0,8575,19,2019-05-11 16:38:02,2118,581
183,25001,2118,89,1426.9,-76.39999999999998,8.547,0.0,125,149.0,0,8547,19,2019-05-11 16:38:03,2118,581
184,25151,2118,91,1435.37,-76.39999999999998,8.463,0.0,125,150.0,0,8463,19,2019-05-11 16:38:04,2118,581
185,25301,2118,89,1443.8,-76.39999999999998,8.435,0.0,124,150.0,0,8435,19,2019-05-11 16:38:05,2118,581
186,25450,2118,89,1452.29,-76.39999999999998,8.491,0.0,124,149.0,0,8491,19,2019-05-11 16:38:06,2118,581
187,25599,2118,87,1460.81,-76.39999999999998,8.519,0.0,124,149.0,0,8519,19,2019-05-11 16:38:07,2118,581
188,25749,2118,90,1469.35,-76.39999999999998,8.547,0.0,125,150.0,0,8547,19,2019-05-11 16:38:08,2118,581
189,25899,2118,91,1477.87,-76.39999999999998,8.519,0.0,125,150.0,0,8519,19,2019-05-11 16:38:09,2118,582
190,26048,2118,91,1486.4,-76.39999999999998,8.519,0.0,125,149.0,0,8519,19,2019-05-11 16:38:10,2118,582
191,26197,2118,91,1494.85,-76.39999999999998,8.463,0.0,124,149.0,0,8463,19,2019-05-11 16:38:11,2118,581
192,26347,2118,91,1503.29,-76.39999999999998,8.435,0.0,124,150.0,0,8435,19,2019-05-11 16:38:12,2118,581
193,26497,2117,91,1511.75,-76.60000000000002,8.463,0.0,124,150.0,0,8463,19,2019-05-11 16:38:13,2117,581
194,26647,2117,91,1520.21,-76.60000000000002,8.463,0.0,124,150.0,0,8463,19,2019-05-11 16:38:14,2117,581
195,26796,2117,91,1528.79,-76.60000000000002,8.575,0.0,124,149.0,0,8575,19,2019-05-11 16:38:15,2117,582
196,26945,2117,91,1537.25,-76.60000000000002,8.463,0.0,124,149.0,0,8463,19,2019-05-11 16:38:16,2117,582
197,27094,2117,89,1545.63,-76.60000000000002,8.379,0.0,124,149.0,0,8379,19,2019-05-11 16:38:17,2117,582
198,27243,2117,89,1554.1,-76.60000000000002,8.463,0.0,125,149.0,0,8463,19,2019-05-11 16:38:18,2117,582
199,27393,2117,89,1562.64,-76.60000000000002,8.547,0.0,126,150.0,0,8547,19,2019-05-11 16:38:19,2117,582
200,27543,2117,90,1571.27,-76.60000000000002,8.631,0.0,126,150.0,0,8631,19,2019-05-11 16:38:20,2117,582
201,27693,2117,90,1579.9,-76.60000000000002,8.631,0.0,126,150.0,0,8631,19,2019-05-11 16:38:21,2117,582
202,27843,2117,92,1588.48,-76.60000000000002,8.575,0.0,126,150.0,0,8575,19,2019-05-11 16:38:22,2117,582
203,27993,2118,93,1596.94,-76.39999999999998,8.463,0.0,126,150.0,0,8463,19,2019-05-11 16:38:23,2118,581
204,28142,2118,90,1605.37,-76.39999999999998,8.435,0.0,126,149.0,0,8435,19,2019-05-11 16:38:24,2118,581
205,28291,2118,90,1613.74,-76.39999999999998,8.36,0.0,126,149.0,0,8360,19,2019-05-11 16:38:25,2118,581
206,28440,2119,89,1622.14,-76.19999999999999,8.407,0.0,126,149.0,0,8407,19,2019-05-11 16:38:26,2119,581
207,28590,2119,91,1630.52,-76.19999999999999,8.379,0.0,125,150.0,0,8379,19,2019-05-11 16:38:27,2119,581
208,28740,2119,90,1639.01,-76.19999999999999,8.491,0.0,125,150.0,0,8491,19,2019-05-11 16:38:28,2119,581
209,28890,2119,90,1647.54,-76.19999999999999,8.519,0.0,125,150.0,0,8519,19,2019-05-11 16:38:29,2119,581
210,29040,2119,90,1656.03,-76.19999999999999,8.491,0.0,125,150.0,0,8491,19,2019-05-11 16:38:30,2119,581
211,29189,2119,90,1664.54,-76.19999999999999,8.519,0.0,125,149.0,0,8519,19,2019-05-11 16:38:31,2119,581
212,29338,2119,90,1673.03,-76.19999999999999,8.491,0.0,125,149.0,0,8491,19,2019-05-11 16:38:32,2119,581
213,29487,2119,90,1681.53,-76.19999999999999,8.491,0.0,125,149.0,0,8491,19,2019-05-11 16:38:33,2119,581
214,29636,2119,92,1690.01,-76.19999999999999,8.491,0.0,125,149.0,0,8491,19,2019-05-11 16:38:34,2119,581
215,29785,2119,92,1698.35,-76.19999999999999,8.332,0.0,124,149.0,0,8332,19,2019-05-11 16:38:35,2119,581
216,29934,2119,90,1706.71,-76.19999999999999,8.36,0.0,124,149.0,0,8360,19,2019-05-11 16:38:36,2119,581
217,30083,2119,88,1715.07,-76.19999999999999,8.36,0.0,123,149.0,0,8360,19,2019-05-11 16:38:37,2119,582
218,30232,2119,86,1723.51,-76.19999999999999,8.435,0.0,122,149.0,0,8435,19,2019-05-11 16:38:38,2119,582
219,30381,2119,86,1731.88,-76.19999999999999,8.379,0.0,122,149.0,0,8379,19,2019-05-11 16:38:39,2119,582
220,30530,2119,88,1740.29,-76.19999999999999,8.407,0.0,123,149.0,0,8407,19,2019-05-11 16:38:40,2119,582
221,30678,2119,89,1748.69,-76.19999999999999,8.407,0.0,123,148.0,0,8407,19,2019-05-11 16:38:41,2119,582
222,30826,2119,88,1757.08,-76.19999999999999,8.379,0.0,123,148.0,0,8379,19,2019-05-11 16:38:42,2119,582
223,30974,2119,88,1765.56,-76.19999999999999,8.491,0.0,123,148.0,0,8491,19,2019-05-11 16:38:43,2119,582
224,31123,2119,89,1774.06,-76.19999999999999,8.491,0.0,123,149.0,0,8491,19,2019-05-11 16:38:44,2119,582
